Code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
Salı | 10:40 - 12:30
"
CE304,A,Betonarme,Mühendislik Fakültesi,6,BÜLENT ERKMEN,"Çarşamba | 10:40 - 12:30
Perşembe | 11:40 - 13:30
"
CE306,A,Temel İnşaatı,Mühendislik Fakültesi,6,SAFİYE FEYZA ÇİNİCİOĞLU,"Salı | 14:40 - 16:30
Cuma | 14:40 - 16:30
"
CE311,A,Hidrolik,Mühendislik Fakültesi,4,YİĞİT CAN ALTAN,"Salı | 10:40 - 13:30
"
CE399,A,İnşaat Sözleşme Dinamikleri: Karmaşıklıkların Yönetimi ve Stratejik Perspektifler,Mühendislik Fakültesi,4,MUSTAFA ATİLLA ANSAL,"Perşembe | 13:40 - 16:30
"
CE409,A,Ön Gerilmeli Beton,Mühendislik Fakültesi,6,BÜLENT ERKMEN,"Salı | 13:40 - 16:30
"
CE417,A,Çelik Yapılar 2,Mühendislik Fakültesi,6,GÜLAY ALTAY,"Pazartesi | 11:40 - 14:30
"
CE427,A,Yapıların Deprem Tasarımı,Mühendislik Fakültesi,6,TANER YILMAZ,"Çarşamba | 15:40 - 18:30
"
CE468,A,Denizcilik Mühendisliğinde Makine Öğrenmesi Uygulamalarına Giriş,Mühendislik Fakültesi,6,YİĞİT CAN ALTAN,"Perşembe | 08:40 - 11:30
"
CE471,A,İnşaat Sözleşmesi Dinamikleri: Navigasyon Karmaşıklıkları ve Stratejik Perspektifler,Mühendislik Fakültesi,6,AYŞE FERİDE ARMANGİL GÖKALP,"Salı | 13:40 - 16:30
"
CE489,A,Yeşil Bina Proje,Mühendislik Fakültesi,6,SENEM SEYİS KAZAZOĞLU,"Pazartesi | 12:40 - 15:30
"
CHEM111,A,Kimya,Mühendislik Fakültesi,6,İLKNUR ERUÇAR FINDIKÇI,"Pazartesi | 12:40 - 14:30
Çarşamba | 12:40 - 14:30
"
CHEM111L,A1,Mühendisler için Kimya - Lab.,Mühendislik Fakültesi,0,İLKNUR ERUÇAR FINDIKÇI,"Cuma | 08:40 - 10:30
"
CHEM111L,A2,Mühendisler için Kimya - Lab.,Mühendislik Fakültesi,0,İLKNUR ERUÇAR FINDIKÇI,"Cuma | 08:40 - 10:30
"
CHEM111L,B1,Mühendisler için Kimya - Lab.,Mühendislik Fakültesi,0,İLKNUR ERUÇAR FINDIKÇI,"Perşembe | 14:40 - 16:30
"
CHEM111L,B2,Mühendisler için Kimya - Lab.,Mühendislik Fakültesi,0,İLKNUR ERUÇAR FINDIKÇI,"Perşembe | 14:40 - 16:30
"
CS101,A,Bilgisayar Programlama,Mühendislik Fakültesi,6,YAŞAR SAFKAN,"Pazartesi | 16:40 - 18:30
"
CS101L,A,Bilgisayar Proglamlama - Lab.,Mühendislik Fakültesi,0,YAŞAR SAFKAN,"Salı | 12:40 - 14:30
"
CS102,A,Nesneye Dayalı Programlama,Mühendislik Fakültesi,6,KÜBRA KALKAN ÇAKMAKCİ,"Pazartesi | 08:40 - 10:30
Salı | 08:40 - 10:30
"
CS104,A,Programlamaya Giriş,Mühendislik Fakültesi,6,ZEYNEP İLKNUR KARADENİZ EROL,"Pazartesi | 08:40 - 10:30
"
CS104L,A,Programlamaya Giriş - Lab.,Mühendislik Fakültesi,0,ZEYNEP İLKNUR KARADENİZ EROL,"Salı | 12:40 - 14:30
"
CS104L,B,Programlamaya Giriş - Lab.,Mühendislik Fakültesi,0,ZEYNEP İLKNUR KARADENİZ EROL,"Salı | 12:40 - 14:30
"
CS104L,C,Programlamaya Giriş - Lab.,Mühendislik Fakültesi,0,HASAN SÖZER,"Salı | 12:40 - 14:30
"
CS105,A,Nesne-Yönelimli Programlamaya Giriş,Mühendislik Fakültesi,6,NİTEL MUHTAROĞLU,"Salı | 08:40 - 10:30
Cuma | 10:40 - 12:30
"
CS112,A,Bilgisayar Bilimi için Ayrık Matematik,Mühendislik Fakültesi,6,HASAN FEHMİ ATEŞ,"Salı | 14:40 - 16:30
Perşembe | 13:40 - 14:30
"
CS201,A,Veri Yapıları ve Algoritmalar,Mühendislik Fakültesi,6,OLCAY TANER YILDIZ,"Pazartesi | 16:40 - 18:30
"
CS201,B,Veri Yapıları ve Algoritmalar,Mühendislik Fakültesi,6,ZEYNEP İLKNUR KARADENİZ EROL,"Pazartesi | 16:40 - 18:30
"
CS201L,A,Veri Yapıları ve Algoritmalar - Lab.,Mühendislik Fakültesi,0,OLCAY TANER YILDIZ,"Perşembe | 14:40 - 16:30
"
CS201L,B,Veri Yapıları ve Algoritmalar - Lab.,Mühendislik Fakültesi,0,ZEYNEP İLKNUR KARADENİZ EROL,"Perşembe | 14:40 - 16:30
"
CS201L,C,Veri Yapıları ve Algoritmalar - Lab.,Mühendislik Fakültesi,0,OLCAY TANER YILDIZ,"Perşembe | 14:40 - 16:30
"
CS202,A,Veritabanı Yönetim Sistemleri,Mühendislik Fakültesi,6,REYHAN AYDOĞAN,"Salı | 14:40 - 16:30
Perşembe | 09:40 - 11:30
"
CS240,A,Bilgisayar Mimarisi,Mühendislik Fakültesi,6,İSMAİL AKTÜRK,"Salı | 08:40 - 11:30
"
CS240L,A,Bilgisayar Mimarisi- Lab.,Mühendislik Fakültesi,0,İSMAİL AKTÜRK,"Çarşamba | 12:40 - 15:30
